Date,Average AI Demand (MW)
2022-03-12,4614.712510416667
2022-03-13,4303.599572916667
2022-03-14,4847.518125
2022-03-15,4976.970072916666
2022-03-16,4907.020604166667
2022-03-17,4406.788385416667
2022-03-18,4384.671333333333
2022-03-19,4162.622854166667
2022-03-20,4124.211572916666
2022-03-21,4621.992020833333
2022-03-22,4669.0378854166665
2022-03-23,4641.29125
2022-03-24,4692.282395833333
2022-03-25,4594.8547708333335
2022-03-26,4215.1463020833335
2022-03-27,4055.7636195652176
2022-03-28,4549.4695
2022-03-29,4676.342593750001
2022-03-30,4760.924760416667
2022-03-31,4787.747125
2022-04-01,4799.29159375
2022-04-02,4370.3844687499995
2022-04-03,4202.19425
2022-04-04,4620.9396354166665
2022-04-05,4706.957989583333
2022-04-06,4671.428625
2022-04-07,4680.663875
2022-04-08,4696.332375
2022-04-09,4340.775552083333
2022-04-10,4214.1380625
2022-04-11,4660.449614583334
2022-04-12,4818.411645833333
2022-04-13,4676.633229166667
2022-04-14,4618.765510416667
2022-04-15,4398.105989583333
2022-04-16,4051.86765625
2022-04-17,3938.0967812500003
2022-04-18,3953.28128125
2022-04-19,4401.802541666667
2022-04-20,4456.177604166666
2022-04-21,4370.345802083333
2022-04-22,4316.81853125
2022-04-23,3979.0619479166667
2022-04-24,3847.3468229166665
2022-04-25,4414.954364583334
2022-04-26,4497.4890000000005
2022-04-27,4499.70015625
2022-04-28,4533.38759375
2022-04-29,4431.3172395833335
2022-04-30,4110.931958333334
2022-05-01,3943.2103854166667
2022-05-02,4070.7241354166667
2022-05-03,4450.512239583333
2022-05-04,4424.2200416666665
2022-05-05,4435.581010416667
2022-05-06,4432.58821875
2022-05-07,4057.1102916666664
2022-05-08,3851.8887604166666
2022-05-09,4376.355729166667
2022-05-10,4331.434177083333
2022-05-11,4371.70609375
2022-05-12,4387.5573125
2022-05-13,4278.792708333333
2022-05-14,3957.3505729166664
2022-05-15,3828.4484687500003
2022-05-16,4303.870427083333
2022-05-17,4382.937208333334
2022-05-18,4318.42465625
2022-05-19,4297.707833333333
2022-05-20,4288.012354166666
2022-05-21,3955.79309375
2022-05-22,3811.8725
2022-05-23,4283.508447916666
2022-05-24,4328.56990625
2022-05-25,4329.620270833333
2022-05-26,4337.073729166666
2022-05-27,4272.260854166667
2022-05-28,3922.735510416667
2022-05-29,3749.3844583333334
2022-05-30,4294.2554375
2022-05-31,4411.97871875
2022-06-01,4389.489739583333
2022-06-02,4413.424885416666
2022-06-03,4283.0483125
2022-06-04,3862.3167395833334
2022-06-05,3795.4546979166666
2022-06-06,3981.2230729166663
2022-06-07,4260.96734375
2022-06-08,4254.547104166667
2022-06-09,4374.516864583334
2022-06-10,4182.0735625
2022-06-11,3841.2138645833334
2022-06-12,3748.1763749999996
2022-06-13,4250.856041666667
2022-06-14,4314.04984375
2022-06-15,4319.945958333333
2022-06-16,4345.610739583333
2022-06-17,4296.424739583334
2022-06-18,3886.750791666667
2022-06-19,3707.0187499999997
2022-06-20,4188.486104166667
2022-06-21,4365.6452500000005
2022-06-22,4389.096916666666
2022-06-23,4366.324635416667
2022-06-24,4240.27909375
2022-06-25,3808.7110625
2022-06-26,3728.5072187500004
2022-06-27,4194.87684375
2022-06-28,4309.035291666666
2022-06-29,4339.9596458333335
2022-06-30,4356.773645833334
2022-07-01,4301.324229166667
2022-07-02,3893.3178645833336
2022-07-03,3755.3588437500002
2022-07-04,4162.1165625
2022-07-05,4326.9462604166665
2022-07-06,4333.558270833333
2022-07-07,4353.99059375
2022-07-08,4262.90896875
2022-07-09,3931.793208333333
2022-07-10,3787.48284375
2022-07-11,4172.198947916667
2022-07-12,4206.836479166667
2022-07-13,4157.5923125
2022-07-14,4205.753239583333
2022-07-15,4187.155031249999
2022-07-16,3928.5315208333336
2022-07-17,3752.8334375
2022-07-18,4253.239729166667
2022-07-19,4356.28678125
2022-07-20,4277.407510416667
2022-07-21,4539.270291666667
2022-07-22,4196.1935
2022-07-23,3880.6972604166663
2022-07-24,3725.347333333333
2022-07-25,4050.2705104166666
2022-07-26,4218.999572916667
2022-07-27,4283.11146875
2022-07-28,4248.27046875
2022-07-29,4193.581854166667
2022-07-30,3932.8037291666665
2022-07-31,3703.7891354166663
2022-08-01,3885.8394895833335
2022-08-02,4134.23453125
2022-08-03,4187.279927083334
2022-08-04,4138.164947916667
2022-08-05,4103.602979166667
2022-08-06,3824.704625
2022-08-07,3723.376083333333
2022-08-08,4169.424822916667
2022-08-09,4298.3675416666665
2022-08-10,4313.746020833333
2022-08-11,4342.855916666666
2022-08-12,4286.377677083333
2022-08-13,3933.7871145833337
2022-08-14,3850.9987604166668
2022-08-15,4296.520072916667
2022-08-16,4189.17365625
2022-08-17,4303.652916666667
2022-08-18,4320.340322916666
2022-08-19,4190.201708333333
2022-08-20,3896.5046562499997
2022-08-21,3770.2492395833337
2022-08-22,4301.69209375
2022-08-23,4420.60140625
2022-08-24,4665.707197916667
2022-08-25,4323.69359375
2022-08-26,4268.0602499999995
2022-08-27,3933.8278124999997
2022-08-28,3812.6657083333334
2022-08-29,4203.9165416666665
2022-08-30,4291.383020833334
2022-08-31,4297.598072916667
2022-09-01,4335.05909375
2022-09-02,4290.486177083333
2022-09-03,3943.1343020833333
2022-09-04,3779.5834270833334
2022-09-05,4216.4051875
2022-09-06,4317.836739583333
2022-09-07,4331.33409375
2022-09-08,4378.6448854166665
2022-09-09,4297.791489583334
2022-09-10,3922.40846875
2022-09-11,3893.5633749999997
2022-09-12,4280.650645833333
2022-09-13,4299.67165625
2022-09-14,4311.7810104166665
2022-09-15,4307.199395833333
2022-09-16,4190.930291666667
2022-09-17,3926.5403854166666
2022-09-18,3830.819364583333
2022-09-19,4177.095197916667
2022-09-20,4317.0841666666665
2022-09-21,4307.326135416667
2022-09-22,4413.622114583333
2022-09-23,4287.452520833333
2022-09-24,3899.4999895833334
2022-09-25,3857.156145833333
2022-09-26,4262.128947916667
2022-09-27,4446.816614583334
2022-09-28,4363.163864583334
2022-09-29,4406.268625
2022-09-30,4379.882104166666
2022-10-01,3942.6367916666663
2022-10-02,3895.2129062500003
2022-10-03,4353.791875
2022-10-04,4482.246062499999
2022-10-05,4422.8055208333335
2022-10-06,4424.731479166667
2022-10-07,4319.871260416667
2022-10-08,4016.072791666667
2022-10-09,3968.18225
2022-10-10,4386.964197916667
2022-10-11,4491.5191562499995
2022-10-12,4590.449583333333
2022-10-13,4614.787645833333
2022-10-14,4361.06665625
2022-10-15,4100.150291666667
2022-10-16,4113.779083333334
2022-10-17,4413.250708333333
2022-10-18,4576.072541666666
2022-10-19,4590.8288437500005
2022-10-20,4597.518208333334
2022-10-21,4536.246916666667
2022-10-22,4149.720979166666
2022-10-23,4050.8543541666663
2022-10-24,4453.85028125
2022-10-25,4544.260072916667
2022-10-26,4535.546604166667
2022-10-27,4579.476416666666
2022-10-28,4468.289958333334
2022-10-29,4178.203177083334
2022-10-30,3954.97362
2022-10-31,4202.065875
2022-11-01,4539.249239583333
2022-11-02,4719.530635416667
2022-11-03,4737.802770833333
2022-11-04,4672.2129583333335
2022-11-05,4273.7949687499995
2022-11-06,4152.717729166667
2022-11-07,4656.750583333333
2022-11-08,4680.626104166667
2022-11-09,4700.686833333333
2022-11-10,4683.91853125
2022-11-11,4595.1545937500005
2022-11-12,4272.680572916667
2022-11-13,4117.98228125
2022-11-14,4622.8232708333335
2022-11-15,4688.419041666667
2022-11-16,4833.361114583334
2022-11-17,4927.352479166667
2022-11-18,4776.7805312499995
2022-11-19,4538.505354166667
2022-11-20,4328.2192187499995
2022-11-21,4911.41221875
2022-11-22,5051.94303125
2022-11-23,4904.480458333333
2022-11-24,4966.9238125
2022-11-25,4836.655802083334
2022-11-26,4423.888583333333
