Day_of_Year,Average_Demand_MW
119,4338.440759841076
120,4334.435347421199
121,4330.457449714625
122,4326.507365803848
123,4322.585394771362
124,4318.691835699659
125,4314.826987671235
126,4310.991149768581
127,4307.184621074191
128,4303.407700670561
129,4299.660687640183
130,4295.943881065548
131,4292.257580029154
132,4288.602083613492
133,4284.977690901056
134,4281.3847009743395
135,4277.823412915836
136,4274.29412580804
137,4270.797138733444
138,4267.332750774541
139,4263.901261013826
140,4260.502968533791
141,4257.138172416931
142,4253.807171745741
143,4250.51026560271
144,4247.247753070336
145,4244.0199332311095
146,4240.827105167525
147,4237.669567962077
148,4234.547620697257
149,4231.461562455562
150,4228.411692319482
151,4225.3983093715115
152,4222.421712694145
153,4219.482201369878
154,4216.5800744811995
155,4213.7156311106055
156,4210.889170340589
157,4208.100991253644
158,4205.351392932264
159,4202.640674458943
160,4199.969134916173
161,4197.33707338645
162,4194.7447889522655
163,4192.192580696112
164,4189.680747700487
165,4187.20958904788
166,4184.779403820788
167,4182.390491101701
168,4180.043149973115
169,4177.737679517524
170,4175.47437881742
171,4173.253546955298
172,4171.075483013649
173,4168.940486074968
174,4166.8488552217505
175,4164.800889536487
176,4162.796888101673
177,4160.837149999801
178,4158.921974313365
179,4157.05166012486
180,4155.226506516776
181,4153.446812571609
182,4151.712877371852
183,4150.025
184,4148.383479538545
185,4146.788615069981
186,4145.2407056768
187,4143.740050441499
188,4142.286948446567
189,4140.881698774502
190,4139.524600507795
191,4138.21595272894
192,4136.956054520431
193,4135.745204964761
194,4134.583703144424
195,4133.471848141914
196,4132.409939039723
197,4131.398274920346
198,4130.437154866276
199,4129.5268779600065
200,4128.667743284031
201,4127.860049920843
202,4127.104096952937
203,4126.400183462805
204,4125.748608532943
205,4125.149671245841
206,4124.603670683995
207,4124.1109059299
208,4123.671676066045
209,4123.286280174927
210,4122.955017339039
211,4122.678186640874
212,4122.4560871629255
213,4122.289017987688
214,4122.177278197653
215,4122.121166875318
216,4122.120983103172
217,4122.177025963711
218,4122.2895945394275
219,4122.458987912818
220,4122.6855051663715
221,4122.969445382585
222,4123.311107643951
223,4123.710791032961
224,4124.168794632113
225,4124.685417523896
226,4125.260958790806
227,4125.895717515337
228,4126.589992779981
229,4127.344083667233
230,4128.158289259584
231,4129.03290863953
232,4129.968240889565
233,4130.964585092181
234,4132.022240329872
235,4133.141505685131
236,4134.322680240452
237,4135.56606307833
238,4136.8719532812565
239,4138.240649931725
240,4139.6724521122305
241,4141.167658905267
242,4142.726569393325
243,4144.3494826589
244,4146.036697784486
245,4147.788513852577
246,4149.605229945665
247,4151.487145146243
248,4153.434558536808
249,4155.44776919985
250,4157.527076217864
251,4159.672778673344
252,4161.885175648782
253,4164.164566226673
254,4166.511249489509
255,4168.925524519786
256,4171.407690399997
257,4173.958046212634
258,4176.57689104019
259,4179.264523965161
260,4182.021244070039
261,4184.847350437318
262,4187.743142149492
263,4190.708918289053
264,4193.744977938497
265,4196.851620180316
266,4200.029144097002
267,4203.277848771052
268,4206.598033284957
269,4209.989996721211
270,4213.454038162309
271,4216.9904566907435
272,4220.5995513890075
273,4224.281621339595
274,4228.0369656249995
275,4231.865883327715
276,4235.768673530236
277,4239.745635315053
278,4243.797067764664
279,4247.923269961556
280,4252.1245409882295
281,4256.401179927173
282,4260.753485860884
283,4265.181757871853
284,4269.686295042576
285,4274.267396455542
286,4278.92536119325
287,4283.660488338192
288,4288.473076972861
289,4293.36342617975
290,4298.331835041354
291,4303.378602640162
292,4308.5040280586745
293,4313.7084103793795
294,4318.992048684775
295,4324.3552420573515
296,4329.798289579602
297,4335.321490334023
298,4340.925143403106
299,4346.609547869344
300,4352.3750028152335
301,4358.221807323264
302,4364.1502604759335
303,4370.160661355731
304,4376.253309045153
305,4382.4285026266925
306,4388.686541182844
307,4395.027723796098
308,4401.452349548951
309,4407.960717523896
310,4414.553126803426
311,4421.2298764700345
312,4427.991265606215
313,4434.837593294461
314,4441.769158617266
315,4448.786260657124
316,4455.889198496529
317,4463.078271217973
318,4470.3537779039525
319,4477.716017636957
320,4485.165289499484
321,4492.701892574024
322,4500.326125943072
323,4508.038288689121
324,4515.838679894665
325,4523.727598642198
326,4531.705344014213
327,4539.772215093203
328,4547.928510961663
329,4556.174530702084
330,4564.510573396962
331,4572.936938128789
332,4581.45392398006
333,4590.061830033268
334,4598.760955370906
335,4607.551599075468
336,4616.434060229448
337,4625.408637915339
338,4634.475631215633
339,4643.6353392128285
340,4652.888060989413
341,4662.234095627884
342,4671.6737422107335
343,4681.207299820455
344,4690.835067539542
345,4700.55734445049
346,4710.37442963579
347,4720.286622177937
348,4730.294221159424
349,4740.397525662744
350,4750.596834770393
351,4760.89244756486
352,4771.284663128645
353,4781.773780544235
354,4792.360098894128
355,4803.043917260816
356,4813.825534726791
357,4824.70525037455
358,4835.683363286584
359,4846.760172545388
360,4857.935977233454
361,4869.211076433276
362,4880.5857692273485
363,4892.060354698165
364,4903.635131928216
365,4915.3104
